fecha,provincia,termino_busqueda,categoria,volumen_busquedas,evento_aumento
2023-01-28,Buenos Aires,cuanto cuesta llenar el tanque,Precios,2891,0
2023-01-28,Buenos Aires,cuanto sube la nafta,Precios,1652,0
2023-01-28,CABA,precio litro infinia shell,Precios,3334,0
2023-01-28,Santa Fe,precio nafta super ypf,Precios,614,0
2023-01-28,Buenos Aires,cuanto gasta un auto por kilometro,Alternativas,1072,0
2023-01-29,Buenos Aires,estacion de servicio con gnc cerca,Estaciones,1657,0
2023-01-29,Neuquén,aumento nafta hoy,Precios,577,0
2023-01-30,Mendoza,cuanto cuesta llenar el tanque,Precios,1835,0
2023-01-30,Buenos Aires,shell abierta ahora,Estaciones,2749,0
2023-01-30,Salta,aplicacion ypf descuentos,Descuentos,1538,0
2023-01-30,Buenos Aires,estacion de servicio con gnc cerca,Estaciones,1660,0
2023-01-30,Tucumán,precio gasoil axion,Precios,1311,0
2023-01-31,Salta,estacion de servicio con gnc cerca,Estaciones,1917,0
2023-01-31,Mendoza,descuento nafta galicia,Descuentos,727,0
2023-02-01,Mendoza,estaciones de servicio mas baratas,Estaciones,1247,0
2023-02-01,Buenos Aires,banco nacion descuento combustible,Descuentos,1659,0
2023-02-01,Córdoba,bbva descuento ypf,Descuentos,2790,0
2023-02-01,Buenos Aires,precio gasoil axion,Precios,2681,0
2023-02-02,Salta,precio gasoil axion,Precios,2130,0
2023-02-02,Buenos Aires,horarios colectivo urbano,Alternativas,894,0
2023-02-02,Santa Fe,monopatín eléctrico precio,Alternativas,2057,0
2023-02-02,Neuquén,precio gasoil axion,Precios,1380,0
2023-02-02,CABA,estaciones de servicio mas baratas,Estaciones,947,0
2023-02-03,CABA,cuanto gasta un auto por kilometro,Alternativas,1229,0
2023-02-03,Santa Fe,aumento nafta hoy,Precios,676,0
2023-02-03,Santa Fe,monopatín eléctrico precio,Alternativas,2563,0
2023-02-03,Neuquén,aplicacion ypf descuentos,Descuentos,2196,0
2023-02-03,CABA,bbva descuento ypf,Descuentos,3332,0
2023-02-04,CABA,convertir auto a gnc precio,Alternativas,2586,0
2023-02-04,Mendoza,shell abierta ahora,Estaciones,2129,0
2023-02-04,Buenos Aires,equipo gnc 5ta generacion precio,Alternativas,972,0
2023-02-05,Mendoza,equipo gnc 5ta generacion precio,Alternativas,2070,0
2023-02-05,Neuquén,estacion de servicio con gnc cerca,Estaciones,2355,0
2023-02-06,Buenos Aires,monopatín eléctrico precio,Alternativas,2936,0
2023-02-06,Buenos Aires,horarios colectivo urbano,Alternativas,782,0
2023-02-07,CABA,ypf cerca de mi,Estaciones,1061,0
2023-02-07,Santa Fe,cuanto gasta un auto por kilometro,Alternativas,1020,0
2023-02-07,CABA,estaciones de servicio mas baratas,Estaciones,2302,0
2023-02-07,Córdoba,aumento combustible fecha,Precios,2738,0
2023-02-07,CABA,aplicacion ypf descuentos,Descuentos,3507,0
2023-02-08,Mendoza,estacion de servicio con gnc cerca,Estaciones,977,0
2023-02-08,Salta,monopatín eléctrico precio,Alternativas,1964,0
2023-02-08,CABA,precio nafta hoy argentina,Precios,953,0
2023-02-08,Córdoba,horarios colectivo urbano,Alternativas,2526,0
2023-02-08,Tucumán,aumento nafta hoy,Precios,2400,0
2023-02-09,Córdoba,axion energia ubicaciones,Estaciones,1757,0
2023-02-09,Mendoza,shell abierta ahora,Estaciones,1254,0
2023-02-09,Córdoba,shell abierta ahora,Estaciones,661,0
2023-02-09,Entre Ríos,banco nacion descuento combustible,Descuentos,1211,0
2023-02-09,CABA,aplicacion ypf descuentos,Descuentos,1318,0
2023-02-10,Córdoba,estacion de servicio con gnc cerca,Estaciones,1402,0
2023-02-10,Córdoba,axion energia ubicaciones,Estaciones,2670,0
2023-02-10,Mendoza,descuentos nafta modo,Descuentos,1513,0
2023-02-10,Buenos Aires,precio nafta super ypf,Precios,3313,0
2023-02-10,Buenos Aires,precio litro infinia shell,Precios,2693,0
2023-02-11,Neuquén,horarios colectivo urbano,Alternativas,1435,0
2023-02-11,Córdoba,bbva descuento ypf,Descuentos,1728,0
2023-02-11,Mendoza,shell abierta ahora,Estaciones,1074,0
2023-02-11,CABA,monopatín eléctrico precio,Alternativas,1185,0
2023-02-12,Mendoza,aplicacion ypf descuentos,Descuentos,1454,0
2023-02-12,CABA,aumento combustible fecha,Precios,707,0
2023-02-12,CABA,convertir auto a gnc precio,Alternativas,1077,0
2023-02-12,Santa Fe,cuanto sube la nafta,Precios,1627,0
2023-02-13,CABA,estacion de servicio con gnc cerca,Estaciones,2377,0
2023-02-13,Córdoba,axion energia ubicaciones,Estaciones,1712,0
2023-02-13,Buenos Aires,monopatín eléctrico precio,Alternativas,1087,0
2023-02-13,CABA,horarios colectivo urbano,Alternativas,666,0
2023-02-13,Santa Fe,estacion de servicio con gnc cerca,Estaciones,1767,0
2023-02-14,Mendoza,aumento combustible fecha,Precios,7650,1
2023-02-14,Entre Ríos,precio litro infinia shell,Precios,5401,1
2023-02-14,Córdoba,estacion de servicio con gnc cerca,Estaciones,6085,1
2023-02-14,Santa Fe,precio nafta hoy argentina,Precios,6595,1
2023-02-14,Córdoba,cuanto sube la nafta,Precios,7516,1
2023-02-14,Buenos Aires,precio gasoil axion,Precios,7008,1
2023-02-14,Tucumán,cuanto sube la nafta,Precios,7777,1
2023-02-14,Buenos Aires,aumento combustible fecha,Precios,9713,1
2023-02-14,Buenos Aires,cuanto sube la nafta,Precios,6068,1
2023-02-14,CABA,axion energia ubicaciones,Estaciones,9064,1
2023-02-14,CABA,descuento nafta personal pay,Descuentos,7012,1
2023-02-14,CABA,promociones cuenta dni nafta,Descuentos,10113,1
2023-02-14,Buenos Aires,shell abierta ahora,Estaciones,9689,1
2023-02-15,Buenos Aires,aumento combustible fecha,Precios,10471,1
2023-02-15,Buenos Aires,cuanto cuesta llenar el tanque,Precios,9033,1
2023-02-15,Córdoba,precio nafta hoy argentina,Precios,4319,1
2023-02-15,Neuquén,aumento nafta hoy,Precios,3540,1
2023-02-15,Buenos Aires,descuentos nafta modo,Descuentos,10326,1
2023-02-15,Buenos Aires,precio nafta super ypf,Precios,5884,1
2023-02-15,Buenos Aires,bbva descuento ypf,Descuentos,5424,1
2023-02-15,Tucumán,precio gasoil axion,Precios,6181,1
2023-02-15,CABA,precio gasoil axion,Precios,6133,1
2023-02-16,Córdoba,cuanto sube la nafta,Precios,10418,1
2023-02-16,CABA,descuento nafta galicia,Descuentos,9846,1
2023-02-16,Santa Fe,cuanto gasta un auto por kilometro,Alternativas,14058,1
2023-02-16,Buenos Aires,cuanto cuesta llenar el tanque,Precios,19475,1
2023-02-16,Buenos Aires,promociones cuenta dni nafta,Descuentos,9806,1
2023-02-16,CABA,cuanto sube la nafta,Precios,10163,1
2023-02-16,Buenos Aires,axion energia ubicaciones,Estaciones,14369,1
2023-02-16,Buenos Aires,aplicacion ypf descuentos,Descuentos,15020,1
2023-02-16,Mendoza,descuentos nafta modo,Descuentos,13982,1
2023-02-16,Buenos Aires,horarios colectivo urbano,Alternativas,16554,1
2023-02-16,Mendoza,puntos serviclub canje,Descuentos,14901,1
2023-02-16,Misiones,estacion de servicio con gnc cerca,Estaciones,9993,1
2023-02-17,Entre Ríos,precio litro infinia shell,Precios,8306,1
2023-02-17,Misiones,banco nacion descuento combustible,Descuentos,7845,1
2023-02-17,CABA,precio nafta hoy argentina,Precios,9725,1
2023-02-17,Buenos Aires,cuanto sube la nafta,Precios,9909,1
2023-02-17,Tucumán,precio litro infinia shell,Precios,4114,1
2023-02-17,Buenos Aires,aplicacion ypf descuentos,Descuentos,7623,1
2023-02-17,Buenos Aires,puntos serviclub canje,Descuentos,10277,1
2023-02-17,Córdoba,estacion de servicio con gnc cerca,Estaciones,5072,1
2023-02-17,Córdoba,aumento nafta hoy,Precios,7055,1
2023-02-17,Salta,precio nafta hoy argentina,Precios,5304,1
2023-02-17,Córdoba,horarios colectivo urbano,Alternativas,4615,1
2023-02-17,Mendoza,cuanto sube la nafta,Precios,8343,1
2023-02-17,Santa Fe,estaciones de servicio mas baratas,Estaciones,8005,1
2023-02-17,CABA,descuentos nafta modo,Descuentos,8952,1
2023-02-17,CABA,aumento nafta hoy,Precios,4629,1
2023-02-17,Buenos Aires,precio gasoil axion,Precios,7559,1
2023-02-18,Santa Fe,precio litro infinia shell,Precios,6165,1
2023-02-18,Buenos Aires,aumento combustible fecha,Precios,9267,1
2023-02-18,Córdoba,aumento nafta hoy,Precios,8754,1
2023-02-18,Entre Ríos,bbva descuento ypf,Descuentos,7064,1
2023-02-18,Buenos Aires,precio nafta super ypf,Precios,6981,1
2023-02-18,Entre Ríos,axion energia ubicaciones,Estaciones,5296,1
2023-02-18,Santa Fe,precio nafta super ypf,Precios,7466,1
2023-02-18,Córdoba,cuanto cuesta llenar el tanque,Precios,6849,1
2023-02-18,Misiones,shell abierta ahora,Estaciones,7569,1
2023-02-18,Santa Fe,descuentos nafta modo,Descuentos,6927,1
2023-02-18,Salta,puntos serviclub canje,Descuentos,6182,1
2023-02-18,Buenos Aires,estaciones de servicio mas baratas,Estaciones,5877,1
2023-02-18,CABA,horarios colectivo urbano,Alternativas,5720,1
2023-02-18,Buenos Aires,cuanto cuesta llenar el tanque,Precios,9075,1
2023-02-18,Córdoba,cuanto gasta un auto por kilometro,Alternativas,4360,1
2023-02-18,Salta,puntos serviclub canje,Descuentos,3817,1
2023-02-19,Neuquén,ypf cerca de mi,Estaciones,539,0
2023-02-19,Córdoba,banco nacion descuento combustible,Descuentos,829,0
2023-02-20,Buenos Aires,aumento combustible fecha,Precios,2865,0
2023-02-20,Buenos Aires,equipo gnc 5ta generacion precio,Alternativas,972,0
2023-02-20,Buenos Aires,cuanto gasta un auto por kilometro,Alternativas,1775,0
2023-02-20,Salta,aumento combustible fecha,Precios,862,0
2023-02-20,Buenos Aires,tarjeta sube saldo,Alternativas,1168,0
2023-02-21,Córdoba,aumento combustible fecha,Precios,2300,0
2023-02-21,Misiones,ypf cerca de mi,Estaciones,1199,0
2023-02-22,Córdoba,monopatín eléctrico precio,Alternativas,1113,0
2023-02-22,Córdoba,equipo gnc 5ta generacion precio,Alternativas,1109,0
2023-02-22,Mendoza,equipo gnc 5ta generacion precio,Alternativas,2387,0
2023-02-22,Mendoza,convertir auto a gnc precio,Alternativas,1023,0
2023-02-22,Buenos Aires,estaciones de servicio mas baratas,Estaciones,722,0
2023-02-23,Salta,cuanto gasta un auto por kilometro,Alternativas,1215,0
2023-02-23,Mendoza,cuanto sube la nafta,Precios,959,0
2023-02-23,Buenos Aires,precio gasoil axion,Precios,1855,0
2023-02-23,Mendoza,ypf cerca de mi,Estaciones,2005,0
2023-02-24,CABA,horarios colectivo urbano,Alternativas,1304,0
2023-02-24,Córdoba,horarios colectivo urbano,Alternativas,1615,0
2023-02-24,Mendoza,cuanto cuesta llenar el tanque,Precios,2062,0
2023-02-25,Entre Ríos,aumento nafta hoy,Precios,1488,0
2023-02-25,Entre Ríos,aplicacion ypf descuentos,Descuentos,583,0
2023-02-25,CABA,aplicacion ypf descuentos,Descuentos,2685,0
2023-02-25,Salta,cuanto sube la nafta,Precios,1686,0
2023-02-26,Salta,ypf cerca de mi,Estaciones,1794,0
2023-02-26,CABA,estacion de servicio con gnc cerca,Estaciones,1171,0
2023-02-26,Buenos Aires,cuanto cuesta llenar el tanque,Precios,3002,0
2023-02-26,Buenos Aires,equipo gnc 5ta generacion precio,Alternativas,1756,0
2023-02-26,Entre Ríos,precio nafta hoy argentina,Precios,1676,0
2023-02-27,Buenos Aires,aumento nafta hoy,Precios,3156,0
2023-02-27,Buenos Aires,descuento nafta galicia,Descuentos,1683,0
2023-02-27,Buenos Aires,horarios colectivo urbano,Alternativas,2121,0
2023-02-28,CABA,ypf cerca de mi,Estaciones,2819,0
2023-02-28,Mendoza,estaciones de servicio mas baratas,Estaciones,1300,0
2023-02-28,Entre Ríos,horarios colectivo urbano,Alternativas,713,0
2023-02-28,Mendoza,aumento nafta hoy,Precios,1388,0
2023-02-28,Córdoba,precio gasoil axion,Precios,1676,0
2023-03-01,Córdoba,aumento nafta hoy,Precios,2635,0
2023-03-01,Buenos Aires,descuentos nafta modo,Descuentos,1331,0
2023-03-02,CABA,tarjeta sube saldo,Alternativas,3110,0
2023-03-02,Tucumán,aumento nafta hoy,Precios,1828,0
2023-03-02,Entre Ríos,cuanto cuesta llenar el tanque,Precios,2425,0
2023-03-03,Neuquén,aumento combustible fecha,Precios,1052,0
2023-03-03,Santa Fe,tarjeta sube saldo,Alternativas,2765,0
2023-03-04,Córdoba,aplicacion ypf descuentos,Descuentos,1784,0
2023-03-04,Córdoba,horarios colectivo urbano,Alternativas,1823,0
2023-03-04,Mendoza,precio gasoil axion,Precios,1535,0
2023-03-05,Santa Fe,aplicacion ypf descuentos,Descuentos,661,0
2023-03-05,CABA,axion energia ubicaciones,Estaciones,2865,0
2023-03-05,Buenos Aires,precio gasoil axion,Precios,1972,0
2023-03-05,CABA,shell abierta ahora,Estaciones,2652,0
2023-03-06,Santa Fe,precio nafta hoy argentina,Precios,1819,0
2023-03-06,CABA,tarjeta sube saldo,Alternativas,2116,0
2023-03-06,Santa Fe,estacion de servicio con gnc cerca,Estaciones,1466,0
2023-03-06,Salta,estacion de servicio con gnc cerca,Estaciones,1773,0
2023-03-07,CABA,ypf cerca de mi,Estaciones,1898,0
2023-03-07,Buenos Aires,axion energia ubicaciones,Estaciones,2355,0
2023-03-08,Santa Fe,shell abierta ahora,Estaciones,1478,0
2023-03-08,Neuquén,aumento nafta hoy,Precios,1025,0
2023-03-08,Misiones,cuanto sube la nafta,Precios,2457,0
2023-03-09,CABA,cuanto sube la nafta,Precios,2956,0
2023-03-09,Córdoba,estaciones de servicio mas baratas,Estaciones,1476,0
2023-03-10,Buenos Aires,estaciones de servicio mas baratas,Estaciones,2686,0
2023-03-10,CABA,precio nafta hoy argentina,Precios,2810,0
2023-03-10,CABA,bbva descuento ypf,Descuentos,3223,0
2023-03-10,Buenos Aires,puntos serviclub canje,Descuentos,3274,0
2023-03-10,Buenos Aires,descuento nafta personal pay,Descuentos,2271,0
2023-03-11,Santa Fe,descuentos nafta modo,Descuentos,2502,0
2023-03-11,Córdoba,equipo gnc 5ta generacion precio,Alternativas,1813,0
2023-03-11,Buenos Aires,precio nafta hoy argentina,Precios,2689,0
2023-03-11,Buenos Aires,precio gasoil axion,Precios,1456,0
2023-03-12,Buenos Aires,estacion de servicio con gnc cerca,Estaciones,1304,0
2023-03-12,CABA,ypf cerca de mi,Estaciones,996,0
2023-03-13,Córdoba,cuanto cuesta llenar el tanque,Precios,7211,1
2023-03-13,Córdoba,precio gasoil axion,Precios,9016,1
2023-03-13,Buenos Aires,promociones cuenta dni nafta,Descuentos,5973,1
2023-03-13,Santa Fe,cuanto sube la nafta,Precios,5195,1
2023-03-13,Santa Fe,ypf cerca de mi,Estaciones,6790,1
2023-03-13,CABA,puntos serviclub canje,Descuentos,5213,1
2023-03-13,Buenos Aires,monopatín eléctrico precio,Alternativas,8311,1
2023-03-13,Santa Fe,cuanto sube la nafta,Precios,6033,1
2023-03-13,Santa Fe,monopatín eléctrico precio,Alternativas,4870,1
2023-03-13,CABA,estaciones de servicio mas baratas,Estaciones,10040,1
2023-03-13,Mendoza,axion energia ubicaciones,Estaciones,6673,1
2023-03-13,CABA,banco nacion descuento combustible,Descuentos,10076,1
2023-03-13,Mendoza,cuanto cuesta llenar el tanque,Precios,7212,1
2023-03-13,Buenos Aires,descuentos nafta modo,Descuentos,8137,1
2023-03-13,CABA,cuanto sube la nafta,Precios,9855,1
2023-03-13,CABA,precio nafta super ypf,Precios,9443,1
2023-03-14,Mendoza,bbva descuento ypf,Descuentos,7365,1
2023-03-14,Entre Ríos,estacion de servicio con gnc cerca,Estaciones,4677,1
2023-03-14,Buenos Aires,aumento combustible fecha,Precios,8743,1
2023-03-14,CABA,precio nafta hoy argentina,Precios,8551,1
2023-03-14,Córdoba,shell abierta ahora,Estaciones,5323,1
2023-03-14,Buenos Aires,equipo gnc 5ta generacion precio,Alternativas,5537,1
2023-03-14,Buenos Aires,aplicacion ypf descuentos,Descuentos,5699,1
2023-03-14,Buenos Aires,precio nafta hoy argentina,Precios,4986,1
2023-03-14,Santa Fe,aumento nafta hoy,Precios,5774,1
2023-03-14,Buenos Aires,promociones cuenta dni nafta,Descuentos,9218,1
2023-03-14,Mendoza,aumento combustible fecha,Precios,3535,1
2023-03-14,CABA,precio gasoil axion,Precios,6439,1
2023-03-14,Córdoba,cuanto sube la nafta,Precios,5648,1
2023-03-14,Buenos Aires,precio litro infinia shell,Precios,7751,1
2023-03-14,Neuquén,descuentos nafta modo,Descuentos,6725,1
2023-03-14,Buenos Aires,aumento combustible fecha,Precios,9532,1
2023-03-14,Santa Fe,aumento nafta hoy,Precios,7094,1
2023-03-15,Buenos Aires,promociones cuenta dni nafta,Descuentos,9020,1
2023-03-15,Buenos Aires,cuanto cuesta llenar el tanque,Precios,8816,1
2023-03-15,Santa Fe,cuanto sube la nafta,Precios,12799,1
2023-03-15,Buenos Aires,precio nafta hoy argentina,Precios,18087,1
2023-03-15,Santa Fe,equipo gnc 5ta generacion precio,Alternativas,8522,1
2023-03-15,Mendoza,descuento nafta galicia,Descuentos,12764,1
2023-03-15,Buenos Aires,precio nafta super ypf,Precios,17408,1
2023-03-15,CABA,precio nafta super ypf,Precios,8938,1
2023-03-15,Tucumán,descuento nafta personal pay,Descuentos,9610,1
2023-03-15,Santa Fe,aumento combustible fecha,Precios,15777,1
