id_candidato,edad,experiencia_anios,salario_esperado,ciudad,seniority,educacion,fecha_postulacion,score_tecnico,remoto,fuente
C0046,34,5,1850000.0,Rosario,Senior,Universitaria,2026-03-28,83,Sí,Referido
C0047,38,4,990000.0,Córdoba,Semi Senior,Universitaria,2026-02-10,49,Sí,Bootcamp
C0048,38,9,2270000.0,Buenos Aires,Lead,Bootcamp,2026-05-03,76,Sí,LinkedIn
C0049,22,0,810000.0,Buenos Aires,Junior,Terciaria,2026-03-16,85,Sí,LinkedIn
C0050,37,8,2180000.0,Córdoba,Lead,Universitaria,2026-02-11,66,No,Portal empleo
C0051,40,8,2280000.0,SALTA,Lead,Terciaria,2026-04-27,82,No,Portal empleo
C0052,25,0,810000.0,Rosario,Junior,Bootcamp,2026-06-10,100,No,LinkedIn
C0053,29,3,$1.120.000,Salta,Semi Senior,Autodidacta,2026-06-27,71,Sí,Referido
C0054,30,,1200000.0,Mendoza,Semi Senior,Universitaria,2026-03-04,78,Sí,Portal empleo
C0055,24,0,760000.0,Buenos Aires,Junior,Bootcamp,2026-06-14,62,Sí,Portal empleo
C0056,32,2,1070000.0,Salta,Semi Senior,Autodidacta,2026-07-06,75,Sí,Portal empleo
C0057,28,1,910000.0,Córdoba,Junior,Autodidacta,2026-05-07,78,Sí,LinkedIn
C0058,39,10,1950000.0,Córdoba,Lead,Terciaria,2026-07-28,75,No,LinkedIn
C0059,30,7,1760000.0,Córdoba,Senior,Terciaria,2026-08-15,58,Sí,Referido
C0060,34,9,2300000.0,Córdoba,Lead,Universitaria,2026-06-25,75,Sí,LinkedIn
C0061,37,7,1370000.0,Buenos Aires,Senior,Bootcamp,2026-05-13,92,Sí,Bootcamp
C0062,27,1,790000.0,Córdoba, Junior ,Terciaria,17/02/2026,78,Sí,Referido
C0063,37,3,1340000.0,,Semi Senior,Terciaria,2026-08-12,,Sí,LinkedIn
C0064,31,6,$1.490.000,Buenos Aires,senior,Universitaria,2026-01-03,69,No,Universidad
C0065,29,1,810000.0, Córdoba ,Junior,Bootcamp,2026-04-26,82,Sí,Referido
C0066,38,7,1730000.0,Buenos Aires,Senior,Bootcamp,2026-06-24,76,No,LinkedIn
C0067,25,4,1290000.0,Córdoba,Semi Senior,Universitaria,2026-07-09,59,Sí,Universidad
C0068,,3,1170000.0,Mendoza,Semi Senior,Bootcamp,2026-04-09,76,Sí,Universidad
C0069,28,7,1550000.0,Córdoba,Senior,Terciaria,2026-04-26,58,Sí,Portal empleo
C0070,,6,$ 1.880.000,Salta,Senior,Bootcamp,,63,No,LinkedIn
C0071,28,3,$1.410.000,Rosario,Semi Senior,Universitaria,2026-07-10,75,No,Portal empleo
C0072,45,8,2420000.0,,Lead,Universitaria,2026-04-22,76,Sí,Universidad
C0073,26,1,860000.0,Córdoba,Junior,Autodidacta,2026-03-02,55,Sí,LinkedIn
C0074,34,6,1.520.000,Mendoza,Senior,Universitaria,2026-06-08,87,Sí,LinkedIn
C0075,,6,1510000.0,Rosario,Senior,Bootcamp,2026-04-05,80,Sí,Universidad
C0076,39,4,1260000.0,Rosario,Semi Senior,Terciaria,2026-01-17,,No,LinkedIn
C0077,41,6,,Rosario,Senior,Terciaria,2026-05-04,50,Sí,Universidad
C0078,32,0,970000.0,Córdoba,Junior,Universitaria,2026-01-24,70,Sí,Referido
C0079,38,7,1760000.0,Buenos Aires ,Senior,Terciaria,2026-04-26,66,Sí,Referido
C0080,33,4,1020000.0,Córdoba,Semi Senior,Universitaria,2026-05-31,74,Sí,LinkedIn
C0081,33,3,1330000.0,Mendoza,Semi Senior,Universitaria,2026-03-23,67,Sí,Universidad
C0082,33,8,1980000.0,Buenos Aires,LEAD,Universitaria,2026-02-19,44,Sí,Referido
C0083,26,2,1150000.0,Córdoba,Semi Senior,Universitaria,25/07/2026,67,No,Portal empleo
C0084,27,0,870000.0,Córdoba,Junior,Autodidacta,2026-03-20,68,No,Portal empleo
C0085,26,0,1020000.0,Córdoba,Junior,Autodidacta,2026-03-20,81,Sí,Portal empleo
C0086,31,6,2160000.0,Córdoba,Senior,Universitaria,2026-03-11,62,No,Bootcamp
C0087,30,0,900000.0,Rosario, Junior ,Bootcamp,2026-01-27,96,Sí,Portal empleo
C0088,41,10,2160000.0,Buenos Aires,Lead,Universitaria,2026-01-15,45,Sí,Referido
C0089,27,0,900000.0,Mendoza,JR,Terciaria,2026-02-19,90,Sí,Bootcamp
C0090,43,10,2400000.0,Buenos Aires,Lead,Bootcamp,2026-02-05,69,Sí,Portal empleo
C0091,27,5,1600000.0,Córdoba,Senior,Autodidacta,2026-01-08,84,Sí,LinkedIn
C0092,30,4,1420000.0,Rosario,Semi Senior,Universitaria,2026-03-20,73,Sí,LinkedIn
C0093,27,3,1230000.0,Rosario,semisenior,Bootcamp,2026-05-11,88,Sí,Universidad
C0094,26,6,1730000.0,Buenos Aires,Senior,Universitaria,09-07-2026,67,No,Referido
C0095,31,4,1280000.0,Rosario,Semi Senior,Autodidacta,,57,Sí,Portal empleo
C0096,35,8,2290000.0,Buenos Aires,Lead,Universitaria,2026-07-24,92,Sí,Referido
C0097,38,5,1790000.0,Buenos Aires,Senior,Terciaria,2026-04-15,70,Sí,LinkedIn
C0098,35,5,$1.550.000,Buenos Aires,Sr,Terciaria,2026-04-08,75,Sí,Portal empleo
C0099,26,3,1.130.000,Córdoba,Semi Senior,Bootcamp,2026-08-04,89,Sí,LinkedIn
C0100,38,4,1070000.0,Córdoba,,Universitaria,2026-04-06,58,No,Referido
C0101,37,5,,Córdoba,Sr,Autodidacta,2026-07-08,,Sí,Portal empleo
C0102,29,0,920000.0,Buenos Aires,Junior,Universitaria,2026-06-09,64,Sí,Referido
C0103,,0,890000.0,Córdoba,Junior,Terciaria,2026-08-10,70,Sí,Portal empleo
C0104,30,7,1930000.0,Buenos Aires,Senior,Universitaria,2026-04-26,73,Sí,Universidad
C0105,31,5,1650000.0,Mendoza,Senior,Universitaria,2026-01-13,51,Sí,Universidad
C0106,35,4,1280000,Córdoba,Semi Senior,Terciaria,2026-01-01,61,Sí,LinkedIn
C0107,40,5,1470000.0,Buenos Aires,Senior,Universitaria,2026-02-03,91,Sí,LinkedIn
C0108,39,6,1590000.0,Rosario,Senior,Universitaria,2026-07-09,84,Sí,Portal empleo
C0109,28,3,1280000.0,cba,Semi Senior,Universitaria,2026-03-20,71,Sí,Bootcamp
C0110,25,2,1300000.0,Córdoba,Semi-Senior,Universitaria,2026-03-19,75,No,Universidad
C0111,33,5,1600000.0,Córdoba,Senior,Bootcamp,2026-05-01,68,Sí,Universidad
C0112,21,1,840000.0,Córdoba,Junior,Bootcamp,2026-04-03,91,No,LinkedIn
C0113,150,6,1400000.0,SALTA,Senior,Universitaria,2026-04-08,69,No,Referido
C0114,26,0,820000.0,Mendoza,Junior,Universitaria,2026-03-23,75,Sí,Referido
C0115,33,8,2400000.0,Buenos Aires,lead,Universitaria,2026-07-18,88,Sí,LinkedIn
C0116,27,6,1740000.0,Mendoza,Senior,Universitaria,2026-08-09,61,Sí,LinkedIn
C0117,34,5,1.730.000,MENDOZA,Senior,Terciaria,2026-06-08,94,No,Bootcamp
C0118,33,8,2210000.0,Córdoba,Lead,Terciaria,2026-07-11,51,Sí,LinkedIn
C0119,32,10,2200000.0,Mendoza,Lead,Universitaria,2026-06-02,95,No,LinkedIn
C0120,24,8,2050000.0,Buenos Aires,Lead,Universitaria,2026-02-07,67,No,LinkedIn
C0121,27,0,910000.0,Mendoza,Junior,Universitaria,2026-01-14,69,No,Bootcamp
C0122,34,0,890000.0,Mendoza,Junior,Bootcamp,2026-05-16,46,Sí,Portal empleo
C0123,37,3,1260000.0,Córdoba,Semi Senior,Autodidacta,2026-04-01,66,Sí,Portal empleo
C0124,30,5,1560000.0,Córdoba,Senior,Universitaria,2026-02-23,57,No,Bootcamp
C0125,31,6,1290000.0,Córdoba,Senior,Universitaria,2026-05-10,63,Sí,LinkedIn
C0126,31,2,1330000.0,BUENOS AIRES,Semi Senior,Bootcamp,2026-07-28,70,Sí,Portal empleo
C0127,28,5,,Mendoza,Senior,Autodidacta,2026-04-11,85,No,LinkedIn
C0128,30,2,1100000.0,Mendoza,Semi Senior,Universitaria,2026-07-25,75,Sí,LinkedIn
C0129,33,3,1280000.0,cordoba,Semi Senior,Universitaria,2026-03-30,76,No,Universidad
C0130,32,,820000.0,Buenos Aires, Junior ,Universitaria,2026-02-25,57,Sí,Universidad
C0131,29,2,1330000.0,Buenos Aires,Semi Senior,Terciaria,,60,Sí,Referido
C0132,26,0,900000,cba,Junior,Universitaria,2026-04-03,97,No,Referido
C0133,24,1,910000,Córdoba,Junior,Universitaria,2026-03-25,62,Sí,Portal empleo
C0134,32,8,1900000.0,Córdoba,,Terciaria,2026-03-26,95,Sí,LinkedIn
C0135,27,1,950000.0,Salta,Junior,Universitaria,2026-07-08,69,Sí,LinkedIn
C0136,41,13,2260000.0,Córdoba,Lead,Bootcamp,2026-01-22,72,Sí,LinkedIn
C0137,37,6,1590000.0,Buenos Aires,Senior,Universitaria,2026-02-04,87,Sí,LinkedIn
C0138,29,5,1670000.0,Rosario,Senior,Universitaria,2026-01-16,90,Sí,Universidad
C0139,35,2,990000.0,Buenos Aires,Semi Senior,Terciaria,2026-02-19,70,Sí,LinkedIn
C0140,33,7,1720000.0,Salta,Senior,Universitaria,2026-05-02,67,Sí,LinkedIn
C0141,30,3,1080000.0,Salta,Semi Senior,Autodidacta,2026-05-08,,No,Referido
C0142,29,5,1430000.0,Córdoba,Senior,Terciaria,2026-04-23,77,No,Universidad
C0143,30,13,1870000.0,Buenos Aires,Lead,Universitaria,20/06/2026,84,Sí,LinkedIn
C0144,35,4,1330000.0,Córdoba,SSr,Bootcamp,2026-01-17,72,Sí,LinkedIn
C0145,38,8,2060000.0,Córdoba,Lead,Universitaria,21-03-2026,999,Sí,Referido
C0146,28,2,1380000.0,Córdoba,Semi Senior,Autodidacta,2026-07-05,95,Sí,Portal empleo
C0147,31,4,,Buenos Aires,Semi Senior,Universitaria,2026-05-10,77,No,Portal empleo
C0148,39,10,1820000.0,Buenos Aires,Lead,Terciaria,2026-05-12,76,No,Universidad
C0149,23,2,1070000.0,Córdoba,semi senior,Universitaria,2026-03-26,51,Sí,Bootcamp
C0150,35,10,2470000.0,Córdoba,Lead,Universitaria,2026-06-16,35,Sí,Universidad
C0151,37,7,$1.620.000,Mendoza,Senior,Bootcamp,2026-08-14,77,Sí,Portal empleo
C0152,25,3,1130000.0,Córdoba,Semi Senior,Bootcamp,2026-04-04,71,Sí,Referido
C0153,35,7,$1.680.000,Córdoba,Senior,Universitaria,2026-05-14,65,Sí,LinkedIn
C0154,30,8,2310000.0,Buenos Aires,Lead,Universitaria,2026-03-22,75,No,Bootcamp
C0155,35,6,1830000.0,Salta,Senior,Bootcamp,2026-08-05,71,No,Referido
C0156,27,,970000.0,Córdoba,Junior,Autodidacta,2026-03-10,88,Sí,LinkedIn
C0157,23,2,1160000.0,Rosario,Semi Senior,Universitaria,2026-03-10,73,Sí,Portal empleo
C0158,36,4,1040000.0,Rosario,Semi Senior,Universitaria,2026-05-28,62,No,LinkedIn
C0159,,4,1150000.0,Córdoba,Semi Senior,Universitaria,2026-07-11,86,Sí,Portal empleo
C0160,30,6,1690000.0,Rosario,Senior,Bootcamp,2026-01-16,,Sí,Portal empleo
C0161,33,5,1490000.0,Buenos Aires,Senior,Universitaria,2026-02-20,79,Sí,Referido
C0162,32,0,770000.0,Buenos Aires,Junior,Universitaria,2026-04-15,65,No,Universidad
C0163,29,6,1710000.0,Buenos Aires,Senior,Bootcamp,2026-06-14,63,Sí,LinkedIn
C0164,33,6,1640000.0,Buenos Aires,Senior,Universitaria,2026-07-20,73,Sí,Referido
C0165,35,6,1660000.0,Córdoba,Senior,Terciaria,2026-07-16,72,No,Portal empleo
C0166,38,8,2030000.0,Mendoza,Lead,Universitaria,2026-06-19,79,No,Portal empleo
C0167,35,7,1.610.000,Córdoba,Senior,Universitaria,2026-07-04,68,No,Universidad
C0168,32,6,1500000.0,Córdoba,Senior,Universitaria,2026-03-07,46,Sí,Referido
C0169,28,4,1310000.0,Córdoba,Semi Senior,Terciaria,2026-01-09,66,Sí,Portal empleo
C0170,27,0,940000.0,Buenos Aires,Junior,Universitaria,2026-04-17,83,No,LinkedIn
C0171,29,6,1.350.000,Rosario,Senior,Terciaria,2026-04-10,68,No,Bootcamp
C0172,20,5,1500000.0,Córdoba,Senior,Bootcamp,2026-03-27,69,Sí,Referido
C0173,34,5,1400000.0,Buenos Aires,Senior,Bootcamp,2026-03-05,86,Sí,Portal empleo
C0174,31,0,790000.0,Córdoba,Junior,Universitaria,2026-08-02,62,No,LinkedIn
C0175,20,1,840000.0,Rosario,Junior,Universitaria,2026-01-22,50,No,LinkedIn
C0176,31,8,$1.880.000,Córdoba,Lead,Universitaria,2026-06-11,70,Sí,Referido
C0177,33,4,,Rosario,Semi Senior,Universitaria,2026-07-02,65,Sí,Universidad
C0178,42,7,1480000.0,Buenos Aires,Senior,Universitaria,2026-06-06,58,Sí,Referido
C0179,32,5,1680000.0,Salta,Senior,Terciaria,2026-06-15,70,Sí,Bootcamp
C0180,29,5,1660000.0,Córdoba,Senior,Universitaria,2026-04-20,79,Sí,Referido
C0181,34,8,2040000.0,Buenos Aires,Lead,Universitaria,2026-04-07,72,Sí,Referido
C0182,35,3,1220000.0,Córdoba,Semi Senior,Universitaria,2026-01-18,76,Sí,LinkedIn
C0183,29,5,1560000.0,Salta,Senior,Bootcamp,12/03/2026,97,Sí,Universidad
C0184,27,3,1170000.0,Mendoza,Semi Senior,Universitaria,2026-07-12,67,Sí,LinkedIn
C0185,28,3,1400000.0,Córdoba,Semi Senior,Terciaria,2026-05-07,76,No,Universidad
C0186,27,4,1360000.0,Rosario,Semi Senior,Universitaria,2026-04-07,65,Sí,Bootcamp
C0187,32,5,1440000.0,Mendoza,Senior,Bootcamp,2026-01-01,60,Sí,Bootcamp
C0188,36,3,1300000.0,Buenos Aires,Semi Senior,Bootcamp,2026-08-04,64,No,Referido
C0189,37,9,$2.380.000,Buenos Aires,Lead,Universitaria,,65,Sí,Portal empleo
C0190,28,2,1060000.0,Córdoba,Semi Senior,Universitaria,2026-01-04,77,No,Universidad
C0191,30,4,1300000.0,Córdoba,Semi Senior,Universitaria,2026-05-05,100,No,LinkedIn
C0192,24,3,,Mendoza,Semi Senior,Universitaria,2026-03-23,62,Sí,Portal empleo
C0193,40,9,1950000.0,Mendoza,Lead,Terciaria,2026-01-27,66,No,LinkedIn
C0194,32,5,1500000.0,Buenos Aires,Senior,Bootcamp,2026-06-20,71,Sí,Referido
C0195,34,8,2420000.0,Córdoba,Lead,Terciaria,2026-02-28,150,Sí,LinkedIn
C0196,40,0,870000.0,Buenos Aires,Junior,Bootcamp,2026-02-01,76,Sí,LinkedIn
C0197,33,5,1740000.0,Rosario,Senior,Universitaria,2026-06-10,90,Sí,Referido
C0198,31,7,1710000.0,Mendoza,Senior,Universitaria,2026-01-28,38,No,Referido
C0199,30,5,1710000.0,Mendoza,Senior,Bootcamp,2026-04-16,39,Sí,Portal empleo
C0200,40,8,1910000.0,Rosario,Lead,Universitaria,2026-04-15,65,Sí,LinkedIn
C0201,30,3,$ 1.330.000,Rosario,Semi Senior,Terciaria,2026-07-02,87,Sí,Referido
C0202,30,9,2460000.0,Córdoba,Lead,Universitaria,2026/07/07,50,Sí,LinkedIn
C0203,43,12,2150000.0,Córdoba,Lead,Universitaria,2026-03-11,35,Sí,Portal empleo
C0204,27,3,1190000.0,Mendoza,Semi Senior,Autodidacta,2026-03-03,80,Sí,Portal empleo
C0205,37,3,1020000.0,Buenos Aires,Semi Senior,Universitaria,2026-07-27,75,No,Portal empleo
C0206,40,9,2310000.0,Córdoba,Lead,Autodidacta,2026-02-03,57,Sí,Portal empleo
C0207,35,10,2330000.0,Córdoba,Lead,Autodidacta,2026-03-28,58,No,LinkedIn
C0208,35,3,1190000.0,Rosario,Semi Senior,Bootcamp,2026-04-24,58,Sí,Universidad
C0209,30,3,1330000.0, Córdoba ,Semi Senior,Terciaria,2026-04-16,74,No,Referido
C0210,34,4,1160000.0,Córdoba,Semi Senior,Terciaria,2026-08-04,63,No,Referido
C0211,29,0,900000.0,Buenos Aires,Junior,Bootcamp,2026-02-25,79,Sí,Portal empleo
C0212,26,2,1080000.0,ROSARIO,Semi Senior,Universitaria,2026-04-23,35,Sí,LinkedIn
C0213,25,1,850000.0,Rosario,Junior,Universitaria,2026-01-13,,No,Portal empleo
C0214,33,2,1180000.0,Córdoba,Semi Senior,Terciaria,2026-07-03,56,Sí,Portal empleo
C0215,30,4,1230000.0,Rosario,Semi Senior,Universitaria,2026-01-18,68,No,LinkedIn
C0216,30,5,1590000.0,Córdoba,Senior,Universitaria,2026-07-01,64,Sí,LinkedIn
C0217,32,9,$2.170.000,Córdoba,Lead,Universitaria,24-07-2026,83,Sí,LinkedIn
C0218,30,1,920000.0,Rosario,JR,Terciaria,2026-04-23,46,Sí,Bootcamp
C0219,43,8,2100000.0,Rosario,LEAD,Bootcamp,2026-06-20,73,No,Portal empleo
C0220,27,4,1010000.0,Mendoza,Semi Senior,Universitaria,2026-02-08,80,Sí,LinkedIn
C0221,31,4,1410000.0,Rosario,Semi Senior,Autodidacta,2026-07-08,98,No,Referido
C0222,40,7,1880000.0,Buenos Aires,Senior,Bootcamp,2026-06-19,65,No,Portal empleo
C0223,28,1,740000.0,Córdoba,Junior,Bootcamp,2026-07-28,77,Sí,Universidad
C0224,35,6,1760000.0,Buenos Aires ,Senior,Terciaria,2026-03-20,47,Sí,LinkedIn
C0225,28,5,1570000.0,cordoba,Senior,Bootcamp,2026-05-26,39,No,LinkedIn
C0226,35,6,1690000.0,Córdoba,Senior,Universitaria,2026-05-31,84,Sí,Universidad
C0227,31,5,1700000.0,Salta,Senior,Bootcamp,2026-07-01,72,No,LinkedIn
C0228,43,12,2150000.0,Buenos Aires,Líder,Universitaria,2026-01-30,88,Sí,LinkedIn
C0229,34,2,1110000.0,Mendoza,Semi Senior,Bootcamp,2026-04-08,53,Sí,Bootcamp
C0230,40,3,1120000.0,Buenos Aires,semi senior,Autodidacta,2026-02-27,79,No,Portal empleo
C0231,32,3,,Mendoza,Semi Senior,Universitaria,2026-07-15,98,Sí,LinkedIn
C0232,31,3,1100000.0,Buenos Aires,Semi Senior,Universitaria,2026-03-08,78,Sí,LinkedIn
C0233,30,2,1190000.0,Buenos Aires,Semi Senior,Bootcamp,2026-03-12,76,Sí,LinkedIn
C0234,34,8,2040000.0,Buenos Aires,Lead,Universitaria,2026-05-26,72,Sí,LinkedIn
C0235,37,9,2350000.0,Córdoba,Lead,Bootcamp,2026-04-16,50,Sí,Universidad
C0236,29,3,1380000.0,Rosario,Semi Senior,Universitaria,2026-01-07,91,No,Referido
C0237,30,2,1130000.0,Córdoba,Semi Senior,Universitaria,2026-02-09,63,Sí,Portal empleo
C0238,38,6,1.690.000,Córdoba,Senior,Autodidacta,11/03/2026,79,Sí,Bootcamp
C0239,26,3,1260000.0,Rosario,semisenior,Terciaria,,50,Sí,Referido
C0240,39,7,1730000.0,CORDOBA,Senior,Bootcamp,2026-07-12,55,Sí,LinkedIn
C0241,37,5,1660000.0,Salta,Senior,Universitaria,2026-03-09,92,Sí,Referido
C0242,27,0,910000.0,,Junior,Terciaria,2026-02-18,67,No,Bootcamp
C0243,28,9,$ 2.310.000,Salta,Lead,Terciaria,2026-02-21,,No,Universidad
C0244,35,10,1.930.000,Buenos Aires,Lead,Terciaria,2026-04-24,71,Sí,LinkedIn
C0245,35,3,1300000.0,cordoba,Semi Senior,Bootcamp,2026-04-17,46,Sí,Portal empleo
C0246,30,3,1310000.0,Salta,Semi Senior,Terciaria,2026-01-29,84,Sí,Portal empleo
C0247,28,5,,Buenos Aires,Senior,Universitaria,2026-05-29,64,Sí,Bootcamp
C0248,31,6,1660000.0,Salta,Senior,Universitaria,2026-08-06,82,Sí,LinkedIn
C0249,37,7,1760000.0,Salta,Senior,Bootcamp,2026-03-19,72,Sí,Portal empleo
C0250,40,11,2150000.0,Mendoza,Lead,Universitaria,2026-01-09,50,Sí,Universidad
C0251,30,4,1330000.0,Córdoba,Semi Senior,Bootcamp,2026-06-24,74,Sí,Referido
C0252,28,2,1480000.0,Buenos Aires,Semi Senior,Universitaria,2026-03-17,100,Sí,Referido
C0253,25,0,780000.0,Mendoza,Junior,Terciaria,2026-02-11,79,No,LinkedIn
C0254,25,2,1030000.0,Córdoba,Semi Senior,Bootcamp,2026-06-28,71,Sí,LinkedIn
C0255,37,4,1240000.0,Córdoba,Semi Senior,Universitaria,2026-07-03,87,Sí,LinkedIn
C0256,36,10,2360000.0,Buenos Aires,Lead,Universitaria,28-06-2026,75,Sí,Bootcamp
C0257,35,3,1170000.0,Salta,,Universitaria,2026-07-17,75,Sí,LinkedIn
C0258,38,5,,Rosario,Senior,Terciaria,2026-05-08,57,No,Referido
C0259,35,4,1040000.0,Buenos Aires,Semi Senior,Bootcamp,2026-01-20,75,Sí,Portal empleo
C0260,33,8,2350000.0,cordoba,Lead,Universitaria,2026-08-04,86,Sí,LinkedIn
C0261,42,13,2070000.0,Buenos Aires,Lead,Bootcamp,04/06/2026,60,Sí,Referido
C0262,30,3,1410000.0,Salta,Semi Senior,Universitaria,2026-06-15,92,No,Portal empleo
C0263,26,3,1440000.0,cordoba,Semi Senior,Universitaria,2026-03-13,71,Sí,Universidad
C0264,36,8,2030000.0,Buenos Aires,Lead,Autodidacta,2026-03-06,60,Sí,Portal empleo
C0265,29,7,1560000.0,Mendoza,Senior,Universitaria,2026-07-01,86,Sí,Portal empleo
C0266,42,10,2390000,Rosario,Lead,Universitaria,2026-04-23,68,Sí,LinkedIn
C0267,31,6,1590000.0,Rosario,Senior,Universitaria,2026-01-24,83,Sí,Bootcamp
C0268,31,3,1190000.0,Rosario,,Universitaria,08-05-2026,68,Sí,LinkedIn
C0269,34,6,1650000.0,Buenos Aires,Senior,Universitaria,2026-06-24,71,Sí,Universidad
C0270,34,8,1780000.0,Córdoba,Lead,Universitaria,2026-07-18,79,No,LinkedIn
C0271,36,7,1650000.0,Mendoza,Senior,Terciaria,2026-03-24,76,Sí,Bootcamp
C0272,31,6,1540000.0,Mendoza,Senior,Universitaria,,44,Sí,Portal empleo
C0273,38,8,2090000,Mendoza,Lead,Terciaria,2026-03-04,56,Sí,Universidad
C0274,30,8,2520000.0,Salta,Lead,Universitaria,,85,No,LinkedIn
C0275,37,9,1920000.0,Buenos Aires,Lead,Universitaria,2026-07-02,70,Sí,Referido
C0276,42,7,1780000.0,Buenos Aires,Senior,Terciaria,2026-03-01,65,No,Portal empleo
C0277,27,4,1.170.000,Mendoza,Semi Senior,Autodidacta,2026-04-09,53,Sí,Universidad
C0278,29,5,1600000.0,,Senior,Universitaria,2026-03-03,57,Sí,LinkedIn
C0279,37,8,2370000.0,Rosario,Lead,Bootcamp,2026-01-30,44,Sí,Bootcamp
C0280,30,,1240000.0,Mendoza,Semi Senior,Terciaria,2026-08-09,71,Sí,Universidad
C0281,34,6,1740000.0,Mendoza,Senior,Terciaria,2026-01-22,64,No,LinkedIn
