id_venta,fecha,id_producto,id_cliente,cantidad,precio_unitario,categoria
VTA-10055,2026-05-15,PROD-DEP-118,CLI-1187,3,90.79,Deportes
VTA-10056,2026-05-15,PROD-HOG-122,CLI-1044,1,35.85,Hogar y Cocina
VTA-10057,2026-05-15,PROD-ROP-101,CLI-1097,3,69.72,Ropa
VTA-10058,2026-05-16,PROD-ROP-112,CLI-1130,1,34.28,Ropa
VTA-10059,2026-05-16,PROD-ROP-134,CLI-1036,3,25.9,Ropa
VTA-10060,2026-05-17,PROD-HOG-126,CLI-1170,2,177.24,Hogar y Cocina
VTA-10061,2026-05-18,PROD-ELE-109,CLI-1167,1,96.53,Electrónica
VTA-10062,2026-05-18,PROD-ELE-147,CLI-1217,1,511.62,Electrónica
VTA-10063,2026-05-18,PROD-HOG-147,CLI-1182,3,135.24,Hogar y Cocina
VTA-10064,2026-05-19,PROD-ELE-143,CLI-1214,4,738.68,Electrónica
VTA-10065,2026-05-19,PROD-ELE-117,CLI-1107,1,239.58,Electrónica
VTA-10066,2026-05-19,PROD-ROP-101,CLI-1038,2,21.13,Ropa
VTA-10067,2026-05-19,PROD-ELE-135,CLI-1014,3,168.0,Electrónica
VTA-10068,2026-05-20,PROD-LIB-115,CLI-1119,3,27.85,Libros
VTA-10069,2026-05-20,PROD-ELE-122,CLI-1240,4,207.99,Electrónica
VTA-10070,2026-05-20,PROD-HOG-128,CLI-1003,2,101.69,Hogar y Cocina
VTA-10071,2026-05-21,PROD-ROP-124,CLI-1092,1,89.82,Ropa
VTA-10072,2026-05-21,PROD-HOG-126,CLI-1213,1,23.62,Hogar y Cocina
VTA-10073,2026-05-21,PROD-ROP-107,CLI-1152,1,86.21,Ropa
VTA-10074,2026-05-22,PROD-ELE-123,CLI-1140,2,421.55,Electrónica
VTA-10075,2026-05-22,PROD-BEL-147,CLI-1209,2,7.59,Belleza
VTA-10076,2026-05-23,PROD-DEP-118,CLI-1160,1,139.75,Deportes
VTA-10077,2026-05-23,PROD-LIB-135,CLI-1015,3,22.7,Libros
VTA-10078,2026-05-23,PROD-ROP-125,CLI-1236,2,91.64,Ropa
VTA-10079,2026-05-24,PROD-ELE-128,CLI-1169,2,40.56,Electrónica
VTA-10080,2026-05-24,PROD-ROP-117,CLI-1107,1,34.84,Ropa
VTA-10081,2026-05-24,PROD-HOG-126,CLI-1125,1,140.8,Hogar y Cocina
VTA-10082,2026-05-24,PROD-ROP-125,CLI-1193,1,108.18,Ropa
VTA-10083,2026-05-24,PROD-DEP-120,CLI-1054,1,147.45,Deportes
VTA-10084,2026-05-24,PROD-ROP-110,CLI-1226,1,97.23,Ropa
VTA-10085,2026-05-25,PROD-BEL-145,CLI-1169,1,45.76,Belleza
VTA-10086,2026-05-26,PROD-ROP-136,CLI-1033,1,70.01,Ropa
VTA-10087,2026-05-27,PROD-DEP-134,CLI-1157,1,171.75,Deportes
VTA-10088,2026-05-27,PROD-ELE-140,CLI-1246,1,359.54,Electrónica
VTA-10089,2026-05-27,PROD-ROP-119,CLI-1012,2,52.91,Ropa
VTA-10090,2026-05-28,PROD-HOG-137,CLI-1140,1,100.32,Hogar y Cocina
VTA-10091,2026-05-28,PROD-ELE-126,CLI-1017,3,495.86,Electrónica
VTA-10092,2026-05-28,PROD-ELE-145,CLI-1159,4,281.02,Electrónica
VTA-10093,2026-05-28,PROD-BEL-133,CLI-1095,1,5.64,Belleza
VTA-10094,2026-05-29,PROD-DEP-121,CLI-1226,1,54.33,Deportes
VTA-10095,2026-05-29,PROD-ELE-148,CLI-1122,1,149.53,Electrónica
VTA-10096,2026-05-30,PROD-ROP-111,CLI-1038,2,21.49,Ropa
VTA-10097,2026-05-30,PROD-ROP-130,CLI-1045,2,30.72,Ropa
VTA-10098,2026-05-31,PROD-DEP-109,CLI-1243,1,33.27,Deportes
VTA-10099,2026-06-01,PROD-ROP-131,CLI-1028,2,56.32,Ropa
VTA-10100,2026-06-01,PROD-ELE-136,CLI-1189,1,797.87,Electrónica
VTA-10101,2026-06-01,PROD-ELE-106,CLI-1240,1,333.34,Electrónica
VTA-10102,2026-06-01,PROD-ROP-128,CLI-1220,2,111.08,Ropa
VTA-10103,2026-06-01,PROD-HOG-115,CLI-1061,1,207.01,Hogar y Cocina
VTA-10104,2026-06-02,PROD-ELE-149,CLI-1244,2,405.33,Electrónica
VTA-10105,2026-06-02,PROD-LIB-138,CLI-1235,1,32.74,Libros
VTA-10106,2026-06-02,PROD-ROP-102,CLI-1184,5,72.13,Ropa
VTA-10107,2026-06-02,PROD-ELE-108,CLI-1015,1,394.38,Electrónica
VTA-10108,2026-06-02,PROD-ELE-145,CLI-1183,1,621.36,Electrónica
VTA-10109,2026-06-03,PROD-ELE-106,CLI-1235,2,775.2,Electrónica
VTA-10110,2026-06-03,PROD-BEL-104,CLI-1238,1,41.16,Belleza
VTA-10111,2026-06-04,PROD-HOG-133,CLI-1120,5,188.02,Hogar y Cocina
VTA-10112,2026-06-04,PROD-HOG-112,CLI-1009,2,41.99,Hogar y Cocina
VTA-10113,2026-06-04,PROD-HOG-126,CLI-1157,2,195.43,Hogar y Cocina
VTA-10114,2026-06-04,PROD-ROP-138,CLI-1152,2,74.77,Ropa
VTA-10115,2026-06-04,PROD-DEP-111,CLI-1102,4,280.28,Deportes
VTA-10116,2026-06-05,PROD-ELE-113,CLI-1083,3,437.76,Electrónica
VTA-10117,2026-06-05,PROD-HOG-133,CLI-1132,2,101.77,Hogar y Cocina
VTA-10118,2026-06-05,PROD-ELE-110,CLI-1064,2,450.17,Electrónica
VTA-10119,2026-06-05,PROD-ELE-110,CLI-1221,1,792.22,Electrónica
VTA-10120,2026-06-06,PROD-ROP-113,CLI-1176,1,85.93,Ropa
VTA-10121,2026-06-06,PROD-ELE-120,CLI-1002,2,222.35,Electrónica
VTA-10122,2026-06-06,PROD-ELE-137,CLI-1172,1,27.1,Electrónica
VTA-10123,2026-06-07,PROD-ROP-109,CLI-1141,1,76.33,Ropa
VTA-10124,2026-06-07,PROD-BEL-124,CLI-1119,1,56.52,Belleza
VTA-10125,2026-06-07,PROD-ELE-135,CLI-1157,1,295.37,Electrónica
VTA-10126,2026-06-08,PROD-ELE-149,CLI-1241,2,684.31,Electrónica
VTA-10127,2026-06-08,PROD-DEP-144,CLI-1067,4,128.47,Deportes
VTA-10128,2026-06-08,PROD-DEP-111,CLI-1145,1,282.12,Deportes
VTA-10129,2026-06-09,PROD-ROP-112,CLI-1189,1,52.96,Ropa
VTA-10130,2026-06-09,PROD-ROP-101,CLI-1036,3,92.04,Ropa
VTA-10131,2026-06-10,PROD-HOG-122,CLI-1152,1,26.3,Hogar y Cocina
VTA-10132,2026-06-10,PROD-ELE-129,CLI-1175,3,133.32,Electrónica
VTA-10133,2026-06-10,PROD-BEL-141,CLI-1192,1,68.79,Belleza
VTA-10134,2026-06-11,PROD-LIB-130,CLI-1180,1,38.53,Libros
VTA-10135,2026-06-11,PROD-ROP-137,CLI-1237,5,99.97,Ropa
VTA-10136,2026-06-11,PROD-ELE-114,CLI-1206,1,430.38,Electrónica
VTA-10137,2026-06-11,PROD-BEL-104,CLI-1072,2,31.88,Belleza
VTA-10138,2026-06-12,PROD-HOG-142,CLI-1142,3,107.22,Hogar y Cocina
VTA-10139,2026-06-13,PROD-HOG-140,CLI-1048,1,121.21,Hogar y Cocina
VTA-10140,2026-06-13,PROD-HOG-140,CLI-1120,2,103.58,Hogar y Cocina
VTA-10141,2026-06-13,PROD-HOG-138,CLI-1087,4,141.85,Hogar y Cocina
VTA-10142,2026-06-13,PROD-BEL-115,CLI-1195,1,54.09,Belleza
VTA-10143,2026-06-13,PROD-BEL-117,CLI-1139,3,81.46,Belleza
VTA-10144,2026-06-13,PROD-LIB-102,CLI-1186,2,28.11,Libros
VTA-10145,2026-06-14,PROD-HOG-140,CLI-1249,2,68.82,Hogar y Cocina
VTA-10146,2026-06-14,PROD-DEP-139,CLI-1036,2,43.9,Deportes
VTA-10147,2026-06-16,PROD-HOG-106,CLI-1060,1,93.21,Hogar y Cocina
VTA-10148,2026-06-16,PROD-HOG-108,CLI-1228,4,178.02,Hogar y Cocina
VTA-10149,2026-06-16,PROD-ELE-115,CLI-1170,4,705.94,Electrónica
VTA-10150,2026-06-17,PROD-DEP-133,CLI-1123,2,164.7,Deportes
VTA-10151,2026-06-17,PROD-DEP-139,CLI-1197,2,176.21,Deportes
VTA-10152,2026-06-17,PROD-HOG-129,CLI-1038,2,50.64,Hogar y Cocina
VTA-10153,2026-06-17,PROD-DEP-133,CLI-1183,1,215.02,Deportes
VTA-10154,2026-06-18,PROD-HOG-127,CLI-1062,2,189.83,Hogar y Cocina
VTA-10155,2026-06-19,PROD-ELE-104,CLI-1045,2,466.66,Electrónica
VTA-10156,2026-06-19,PROD-ROP-110,CLI-1087,2,65.35,Ropa
VTA-10157,2026-06-20,PROD-ELE-110,CLI-1010,2,290.11,Electrónica
VTA-10158,2026-06-20,PROD-ROP-138,CLI-1061,1,69.94,Ropa
VTA-10159,2026-06-20,PROD-ELE-147,CLI-1076,1,681.0,Electrónica
VTA-10160,2026-06-20,PROD-HOG-124,CLI-1225,1,156.93,Hogar y Cocina
VTA-10161,2026-06-21,PROD-ROP-115,CLI-1152,1,98.11,Ropa
VTA-10162,2026-06-21,PROD-HOG-105,CLI-1198,2,129.29,Hogar y Cocina
VTA-10163,2026-06-21,PROD-ROP-104,CLI-1051,2,90.0,Ropa
VTA-10164,2026-06-21,PROD-HOG-102,CLI-1003,2,17.87,Hogar y Cocina
VTA-10165,2026-06-21,PROD-ROP-136,CLI-1058,1,70.61,Ropa
VTA-10166,2026-06-22,PROD-ROP-143,CLI-1071,2,76.7,Ropa
VTA-10167,2026-06-22,PROD-ROP-120,CLI-1147,1,31.61,Ropa
VTA-10168,2026-06-22,PROD-HOG-110,CLI-1092,1,95.49,Hogar y Cocina
VTA-10169,2026-06-22,PROD-ROP-106,CLI-1062,2,55.29,Ropa
VTA-10170,2026-06-23,PROD-BEL-147,CLI-1053,3,29.47,Belleza
VTA-10171,2026-06-23,PROD-ELE-143,CLI-1116,1,143.85,Electrónica
VTA-10172,2026-06-23,PROD-ROP-113,CLI-1242,1,27.02,Ropa
VTA-10173,2026-06-23,PROD-BEL-118,CLI-1236,1,56.97,Belleza
VTA-10174,2026-06-23,PROD-HOG-147,CLI-1109,1,185.63,Hogar y Cocina
VTA-10175,2026-06-24,PROD-ROP-143,CLI-1073,2,112.67,Ropa
VTA-10176,2026-06-24,PROD-HOG-136,CLI-1106,1,230.91,Hogar y Cocina
VTA-10177,2026-06-25,PROD-HOG-105,CLI-1225,1,231.79,Hogar y Cocina
VTA-10178,2026-06-25,PROD-DEP-108,CLI-1056,1,198.9,Deportes
VTA-10179,2026-06-26,PROD-ELE-149,CLI-1217,1,471.62,Electrónica
VTA-10180,2026-06-26,PROD-ROP-109,CLI-1168,1,57.81,Ropa
VTA-10181,2026-06-27,PROD-HOG-129,CLI-1240,1,39.5,Hogar y Cocina
VTA-10182,2026-06-27,PROD-LIB-141,CLI-1249,1,42.25,Libros
VTA-10183,2026-06-28,PROD-HOG-123,CLI-1002,1,43.86,Hogar y Cocina
VTA-10184,2026-06-28,PROD-ELE-137,CLI-1119,3,788.25,Electrónica
VTA-10185,2026-06-28,PROD-HOG-146,CLI-1005,1,58.79,Hogar y Cocina
VTA-10186,2026-06-28,PROD-DEP-123,CLI-1004,4,277.04,Deportes
VTA-10187,2026-06-28,PROD-ELE-140,CLI-1004,1,496.12,Electrónica
VTA-10188,2026-06-28,PROD-ROP-147,CLI-1053,3,17.91,Ropa
VTA-10189,2026-06-29,PROD-HOG-109,CLI-1046,2,63.31,Hogar y Cocina
VTA-10190,2026-06-29,PROD-ROP-126,CLI-1214,2,48.02,Ropa
VTA-10191,2026-06-29,PROD-ROP-125,CLI-1176,2,105.26,Ropa
VTA-10192,2026-06-29,PROD-ROP-138,CLI-1008,1,49.41,Ropa
VTA-10193,2026-06-29,PROD-ELE-118,CLI-1098,1,397.65,Electrónica
VTA-10194,2026-06-29,PROD-ELE-127,CLI-1019,1,375.47,Electrónica
VTA-10195,2026-06-30,PROD-BEL-143,CLI-1121,2,7.79,Belleza
VTA-10196,2026-06-30,PROD-DEP-124,CLI-1240,1,177.51,Deportes
VTA-10197,2026-07-01,PROD-ROP-106,CLI-1060,1,15.66,Ropa
VTA-10198,2026-07-01,PROD-BEL-133,CLI-1122,2,35.8,Belleza
VTA-10199,2026-07-01,PROD-HOG-143,CLI-1233,2,163.58,Hogar y Cocina
VTA-10200,2026-07-01,PROD-ROP-128,CLI-1162,2,34.97,Ropa
VTA-10201,2026-07-01,PROD-ROP-149,CLI-1177,2,31.23,Ropa
VTA-10202,2026-07-01,PROD-ELE-120,CLI-1081,5,380.72,Electrónica
VTA-10203,2026-07-01,PROD-ELE-120,CLI-1061,1,346.33,Electrónica
VTA-10204,2026-07-01,PROD-HOG-128,CLI-1144,1,140.74,Hogar y Cocina
VTA-10205,2026-07-01,PROD-HOG-140,CLI-1215,1,133.02,Hogar y Cocina
VTA-10206,2026-07-01,PROD-ELE-101,CLI-1002,1,265.2,Electrónica
VTA-10207,2026-07-01,PROD-BEL-130,CLI-1159,3,68.75,Belleza
VTA-10208,2026-07-01,PROD-DEP-119,CLI-1226,1,111.32,Deportes
VTA-10209,2026-07-02,PROD-ELE-130,CLI-1229,2,172.78,Electrónica
VTA-10210,2026-07-02,PROD-BEL-145,CLI-1012,1,37.11,Belleza
VTA-10211,2026-07-02,PROD-BEL-116,CLI-1119,2,53.01,Belleza
VTA-10212,2026-07-03,PROD-BEL-118,CLI-1124,2,29.99,Belleza
VTA-10213,2026-07-03,PROD-ELE-147,CLI-1238,1,433.93,Electrónica
VTA-10214,2026-07-04,PROD-DEP-128,CLI-1088,1,149.52,Deportes
VTA-10215,2026-07-04,PROD-HOG-130,CLI-1072,1,146.52,Hogar y Cocina
VTA-10216,2026-07-05,PROD-DEP-104,CLI-1067,1,62.76,Deportes
VTA-10217,2026-07-05,PROD-BEL-129,CLI-1141,1,11.42,Belleza
VTA-10218,2026-07-06,PROD-HOG-103,CLI-1100,1,102.73,Hogar y Cocina
VTA-10219,2026-07-07,PROD-DEP-110,CLI-1097,1,270.25,Deportes
VTA-10220,2026-07-08,PROD-LIB-134,CLI-1010,2,23.12,Libros
VTA-10221,2026-07-08,PROD-DEP-123,CLI-1104,2,293.89,Deportes
VTA-10222,2026-07-09,PROD-ROP-132,CLI-1183,2,89.33,Ropa
VTA-10223,2026-07-09,PROD-ELE-129,CLI-1066,1,341.19,Electrónica
VTA-10224,2026-07-09,PROD-ROP-103,CLI-1122,2,36.96,Ropa
VTA-10225,2026-07-09,PROD-LIB-108,CLI-1219,1,11.85,Libros
VTA-10226,2026-07-10,PROD-ELE-147,CLI-1028,1,466.32,Electrónica
VTA-10227,2026-07-10,PROD-HOG-133,CLI-1136,3,145.83,Hogar y Cocina
VTA-10228,2026-07-10,PROD-ELE-108,CLI-1194,1,102.07,Electrónica
VTA-10229,2026-07-10,PROD-HOG-132,CLI-1152,2,247.35,Hogar y Cocina
VTA-10230,2026-07-11,PROD-LIB-132,CLI-1225,2,39.66,Libros
VTA-10231,2026-07-11,PROD-LIB-143,CLI-1075,1,43.62,Libros
VTA-10232,2026-07-11,PROD-ELE-137,CLI-1169,1,134.34,Electrónica
VTA-10233,2026-07-11,PROD-LIB-114,CLI-1008,1,18.85,Libros
VTA-10234,2026-07-11,PROD-HOG-148,CLI-1206,3,35.43,Hogar y Cocina
VTA-10235,2026-07-12,PROD-ROP-110,CLI-1039,1,21.23,Ropa
VTA-10236,2026-07-12,PROD-DEP-123,CLI-1024,1,255.96,Deportes
VTA-10237,2026-07-12,PROD-ROP-148,CLI-1004,1,31.6,Ropa
VTA-10238,2026-07-13,PROD-ROP-136,CLI-1138,2,81.44,Ropa
VTA-10239,2026-07-14,PROD-DEP-118,CLI-1186,1,268.87,Deportes
VTA-10240,2026-07-14,PROD-ELE-147,CLI-1225,1,509.19,Electrónica
VTA-10241,2026-07-14,PROD-ROP-111,CLI-1215,2,40.02,Ropa
VTA-10242,2026-07-14,PROD-ROP-102,CLI-1123,4,51.21,Ropa
VTA-10243,2026-07-14,PROD-ROP-112,CLI-1206,1,101.71,Ropa
VTA-10244,2026-07-15,PROD-ROP-137,CLI-1037,1,56.22,Ropa
VTA-10245,2026-07-16,PROD-HOG-130,CLI-1071,1,100.25,Hogar y Cocina
VTA-10246,2026-07-16,PROD-DEP-144,CLI-1132,2,73.66,Deportes
VTA-10247,2026-07-17,PROD-DEP-122,CLI-1175,1,236.13,Deportes
VTA-10248,2026-07-17,PROD-DEP-117,CLI-1089,1,261.86,Deportes
VTA-10249,2026-07-17,PROD-DEP-146,CLI-1145,2,146.61,Deportes
VTA-10250,2026-07-18,PROD-HOG-132,CLI-1197,2,114.93,Hogar y Cocina
VTA-10251,2026-07-18,PROD-ELE-117,CLI-1036,1,233.22,Electrónica
VTA-10252,2026-07-19,PROD-ROP-140,CLI-1059,3,87.48,Ropa
VTA-10253,2026-07-19,PROD-ROP-125,CLI-1175,2,39.85,Ropa
VTA-10254,2026-07-19,PROD-ELE-122,CLI-1204,1,672.07,Electrónica
VTA-10255,2026-07-19,PROD-HOG-104,CLI-1027,1,46.08,Hogar y Cocina
VTA-10256,2026-07-19,PROD-ROP-129,CLI-1196,5,30.54,Ropa
VTA-10257,2026-07-20,PROD-DEP-123,CLI-1204,1,208.12,Deportes
VTA-10258,2026-07-20,PROD-BEL-106,CLI-1080,1,82.72,Belleza
VTA-10259,2026-07-20,PROD-HOG-121,CLI-1113,1,206.54,Hogar y Cocina
VTA-10260,2026-07-21,PROD-ROP-141,CLI-1039,2,41.6,Ropa
VTA-10261,2026-07-21,PROD-ELE-117,CLI-1044,1,339.07,Electrónica
VTA-10262,2026-07-21,PROD-LIB-138,CLI-1223,1,38.7,Libros
VTA-10263,2026-07-22,PROD-LIB-123,CLI-1061,1,11.94,Libros
VTA-10264,2026-07-23,PROD-ROP-122,CLI-1092,1,26.78,Ropa
VTA-10265,2026-07-23,PROD-HOG-131,CLI-1114,2,220.36,Hogar y Cocina
VTA-10266,2026-07-23,PROD-ELE-140,CLI-1185,2,219.32,Electrónica
VTA-10267,2026-07-24,PROD-ELE-145,CLI-1066,1,540.4,Electrónica
VTA-10268,2026-07-25,PROD-ELE-107,CLI-1055,1,469.3,Electrónica
VTA-10269,2026-07-25,PROD-ROP-117,CLI-1039,2,57.23,Ropa
VTA-10270,2026-07-25,PROD-BEL-128,CLI-1097,1,70.53,Belleza
VTA-10271,2026-07-26,PROD-HOG-146,CLI-1039,1,26.04,Hogar y Cocina
VTA-10272,2026-07-26,PROD-ROP-143,CLI-1090,5,31.91,Ropa
VTA-10273,2026-07-26,PROD-DEP-136,CLI-1204,2,233.59,Deportes
VTA-10274,2026-07-27,PROD-LIB-129,CLI-1236,1,22.4,Libros
VTA-10275,2026-07-27,PROD-BEL-140,CLI-1032,1,42.16,Belleza
VTA-10276,2026-07-27,PROD-ELE-136,CLI-1005,1,582.26,Electrónica
VTA-10277,2026-07-27,PROD-ROP-139,CLI-1215,1,77.92,Ropa
VTA-10278,2026-07-27,PROD-ELE-134,CLI-1146,1,332.4,Electrónica
VTA-10279,2026-07-27,PROD-ROP-124,CLI-1079,1,113.18,Ropa
VTA-10280,2026-07-28,PROD-ELE-105,CLI-1167,1,399.91,Electrónica
VTA-10281,2026-07-28,PROD-HOG-136,CLI-1091,4,141.86,Hogar y Cocina
VTA-10282,2026-07-28,PROD-ROP-119,CLI-1096,2,76.27,Ropa
VTA-10283,2026-07-28,PROD-ELE-143,CLI-1058,1,680.97,Electrónica
VTA-10284,2026-07-28,PROD-ROP-145,CLI-1058,1,28.7,Ropa
VTA-10285,2026-07-28,PROD-ROP-109,CLI-1047,2,95.26,Ropa
VTA-10286,2026-07-28,PROD-ROP-109,CLI-1168,1,20.11,Ropa
VTA-10287,2026-07-29,PROD-ROP-117,CLI-1012,1,56.58,Ropa
VTA-10288,2026-07-29,PROD-ELE-143,CLI-1106,4,488.67,Electrónica
VTA-10289,2026-07-29,PROD-ROP-125,CLI-1044,1,38.61,Ropa
VTA-10290,2026-07-29,PROD-ROP-103,CLI-1088,2,20.4,Ropa
VTA-10291,2026-07-29,PROD-HOG-144,CLI-1180,5,178.25,Hogar y Cocina
VTA-10292,2026-07-29,PROD-ROP-130,CLI-1169,1,12.57,Ropa
VTA-10293,2026-07-29,PROD-ELE-112,CLI-1099,1,304.75,Electrónica
VTA-10294,2026-07-30,PROD-ELE-144,CLI-1190,1,650.76,Electrónica
VTA-10295,2026-07-30,PROD-BEL-149,CLI-1154,3,16.63,Belleza
VTA-10296,2026-07-31,PROD-ROP-110,CLI-1165,3,86.58,Ropa
VTA-10297,2026-07-31,PROD-HOG-149,CLI-1187,2,58.51,Hogar y Cocina
VTA-10298,2026-07-31,PROD-LIB-116,CLI-1006,1,40.3,Libros
VTA-10299,2026-07-31,PROD-ELE-108,CLI-1132,2,520.19,Electrónica
VTA-10300,2026-07-31,PROD-LIB-117,CLI-1234,3,32.37,Libros
